2017/12/05 04:46:47 socat[29403] E write(6, 0x562d6088f640, 1): Broken pipe
2017/12/05 04:46:49 socat[29779] E write(6, 0x562d6088f640, 1): Broken pipe
2017/12/05 04:46:49 socat[29823] E write(6, 0x562d6088f640, 1): Broken pipe
2017/12/05 04:46:50 socat[29863] E write(6, 0x562d6088f640, 1): Broken pipe
2017/12/05 04:46:50 socat[29917] E write(6, 0x562d6088f640, 1): Broken pipe
2017/12/05 04:46:51 socat[29925] E write(6, 0x562d6088f640, 1): Broken pipe
2017/12/05 04:51:47 socat[6151] E write(6, 0x562d6088f640, 20): Broken pipe
2017/12/05 04:56:48 socat[9352] E write(6, 0x562d6088f640, 1): Broken pipe
2017/12/05 04:56:48 socat[9354] E write(6, 0x562d6088f640, 1): Broken pipe
2017/12/05 04:56:48 socat[9362] E write(6, 0x562d6088f640, 1): Broken pipe
2017/12/05 04:56:48 socat[9366] E write(6, 0x562d6088f640, 1): Broken pipe
2017/12/05 04:56:48 socat[9378] E write(6, 0x562d6088f640, 1): Broken pipe
2017/12/05 04:56:48 socat[9392] E write(6, 0x562d6088f640, 1): Broken pipe
2017/12/05 04:56:48 socat[9394] E write(6, 0x562d6088f640, 1): Broken pipe
2017/12/05 04:56:48 socat[9406] E write(6, 0x562d6088f640, 1): Broken pipe
2017/12/05 04:56:51 socat[9778] E write(6, 0x562d6088f640, 1): Broken pipe
2017/12/05 04:56:51 socat[9780] E write(6, 0x562d6088f640, 1): Broken pipe
2017/12/05 04:56:51 socat[9782] E write(6, 0x562d6088f640, 1): Broken pipe
2017/12/05 04:56:51 socat[9786] E write(6, 0x562d6088f640, 1): Broken pipe
2017/12/05 04:56:52 socat[9866] E write(6, 0x562d6088f640, 1): Broken pipe
2017/12/05 04:56:52 socat[9906] E write(6, 0x562d6088f640, 1): Broken pipe
2017/12/05 04:56:53 socat[9928] E write(6, 0x562d6088f640, 1): Broken pipe
2017/12/05 04:56:56 socat[9960] E write(6, 0x562d6088f640, 1): Broken pipe
2017/12/05 04:57:42 socat[14544] E write(6, 0x562d6088f640, 1): Broken pipe
2017/12/05 05:25:45 socat[15559] E write(6, 0x562d6088f640, 1): Broken pipe
2017/12/05 05:26:39 socat[15887] E write(6, 0x562d6088f640, 1): Broken pipe
2017/12/05 05:27:09 socat[16092] E write(6, 0x562d6088f640, 1): Broken pipe
2017/12/07 02:03:01 socat[20968] E write(6, 0x55f7eabd7640, 1): Broken pipe
2017/12/07 02:03:01 socat[20972] E write(6, 0x55f7eabd7640, 1): Broken pipe
2017/12/07 02:03:01 socat[20974] E write(6, 0x55f7eabd7640, 1): Broken pipe
2017/12/07 02:03:01 socat[20978] E write(6, 0x55f7eabd7640, 1): Broken pipe
2017/12/07 02:03:01 socat[20980] E write(6, 0x55f7eabd7640, 1): Broken pipe
2017/12/07 02:03:01 socat[20982] E write(6, 0x55f7eabd7640, 1): Broken pipe
2017/12/07 02:03:01 socat[20994] E write(6, 0x55f7eabd7640, 1): Broken pipe
2017/12/07 02:03:01 socat[20996] E write(6, 0x55f7eabd7640, 1): Broken pipe
2017/12/07 02:03:01 socat[20998] E write(6, 0x55f7eabd7640, 1): Broken pipe
2017/12/07 02:03:01 socat[21012] E write(6, 0x55f7eabd7640, 1): Broken pipe
2017/12/07 02:03:01 socat[21014] E write(6, 0x55f7eabd7640, 1): Broken pipe
2017/12/07 02:03:01 socat[21026] E write(6, 0x55f7eabd7640, 1): Broken pipe
2017/12/07 02:03:01 socat[21028] E write(6, 0x55f7eabd7640, 1): Broken pipe
2017/12/07 02:03:05 socat[21398] E write(6, 0x55f7eabd7640, 1): Broken pipe
2017/12/07 02:03:05 socat[21400] E write(6, 0x55f7eabd7640, 1): Broken pipe
2017/12/07 02:03:05 socat[21402] E write(6, 0x55f7eabd7640, 1): Broken pipe
2017/12/07 02:03:05 socat[21406] E write(6, 0x55f7eabd7640, 1): Broken pipe
2017/12/07 02:03:05 socat[21446] E write(6, 0x55f7eabd7640, 1): Broken pipe
2017/12/07 02:03:06 socat[21486] E write(6, 0x55f7eabd7640, 1): Broken pipe
2017/12/07 02:03:06 socat[21526] E write(6, 0x55f7eabd7640, 1): Broken pipe
2017/12/07 02:03:06 socat[21536] E write(6, 0x55f7eabd7640, 1): Broken pipe
2017/12/07 02:03:06 socat[21538] E write(6, 0x55f7eabd7640, 1): Broken pipe
2017/12/07 02:03:06 socat[21540] E write(6, 0x55f7eabd7640, 1): Broken pipe
2017/12/07 02:03:07 socat[21548] E write(6, 0x55f7eabd7640, 1): Broken pipe
2017/12/07 02:07:54 socat[29235] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:07:55 socat[29237] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:07:55 socat[29241] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:07:55 socat[29249] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:07:55 socat[29257] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:07:55 socat[29259] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:07:55 socat[29261] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:07:55 socat[29275] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:07:55 socat[29277] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:07:56 socat[29661] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:07:56 socat[29663] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:07:56 socat[29665] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:07:57 socat[29709] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:07:57 socat[29801] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:08:29 socat[2282] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:08:32 socat[2316] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:13:17 socat[8956] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:13:17 socat[8960] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:13:17 socat[8966] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:13:17 socat[8970] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:13:17 socat[8982] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:13:17 socat[8986] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:13:17 socat[8988] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:13:18 socat[9000] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:13:18 socat[9002] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:13:18 socat[9014] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:13:18 socat[9016] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:13:21 socat[9386] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:13:21 socat[9388] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:13:22 socat[9434] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:13:22 socat[9474] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:13:22 socat[9514] E write(6, 0x55a667eb0640, 1): Broken pipe
2017/12/07 02:13:23 socat[9524] E write(6, 0x55a667eb0640, 1): Broken pipe
