2018/03/06 03:04:35 socat[21734] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:35 socat[21736] E write(6, 0x561b1ef4b700, 504): Broken pipe
2018/03/06 03:04:35 socat[21738] E write(6, 0x561b1ef4b700, 610): Broken pipe
2018/03/06 03:04:35 socat[21740] E write(6, 0x561b1ef4b700, 531): Broken pipe
2018/03/06 03:04:35 socat[21742] E write(6, 0x561b1ef4b700, 10): Broken pipe
2018/03/06 03:04:35 socat[21744] E write(6, 0x561b1ef4b700, 2502): Broken pipe
2018/03/06 03:04:35 socat[21746] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:35 socat[21748] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:35 socat[21750] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:35 socat[21752] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:35 socat[21754] E write(6, 0x561b1ef4b700, 10): Broken pipe
2018/03/06 03:04:35 socat[21756] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:35 socat[21758] E write(6, 0x561b1ef4b700, 10): Broken pipe
2018/03/06 03:04:35 socat[21760] E write(6, 0x561b1ef4b700, 576): Broken pipe
2018/03/06 03:04:35 socat[21762] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:35 socat[21764] E write(6, 0x561b1ef4b700, 468): Broken pipe
2018/03/06 03:04:35 socat[21766] E write(6, 0x561b1ef4b700, 468): Broken pipe
2018/03/06 03:04:35 socat[21768] E write(6, 0x561b1ef4b700, 423): Broken pipe
2018/03/06 03:04:35 socat[21770] E write(6, 0x561b1ef4b700, 374): Broken pipe
2018/03/06 03:04:35 socat[21772] E write(6, 0x561b1ef4b700, 495): Broken pipe
2018/03/06 03:04:35 socat[21774] E write(6, 0x561b1ef4b700, 621): Broken pipe
2018/03/06 03:04:35 socat[21776] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:35 socat[21778] E write(6, 0x561b1ef4b700, 2502): Broken pipe
2018/03/06 03:04:35 socat[21780] E write(6, 0x561b1ef4b700, 2502): Broken pipe
2018/03/06 03:04:35 socat[21782] E write(6, 0x561b1ef4b700, 2502): Broken pipe
2018/03/06 03:04:35 socat[21784] E write(6, 0x561b1ef4b700, 3058): Broken pipe
2018/03/06 03:04:35 socat[21786] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:35 socat[21788] E write(6, 0x561b1ef4b700, 9): Broken pipe
2018/03/06 03:04:35 socat[21790] E write(6, 0x561b1ef4b700, 9): Broken pipe
